img,rank,rating,numReviews,cost,name,type,address,business_id,categories
['www.Extreme Pita.com', '31', '2.0', '3', '29.3', 'Extreme Pita', 'Bay Adelaide Centre', ' 333 Bay St', 'de2ezuGAKPYjHA8pYNnd6g', 'Food; Restaurants']
['www.Seoul Food Meat Company.com', '77', '4.0', '830', '26.8', 'Seoul Food Meat Company', '1400 S Church St', ' Ste A', 'mC39IrCp36QIVFRZIw9PTQ', 'Barbeque; Restaurants; Chicken Wings; Korean; Asian Fusion']
["www.Jojo's Pizza & Family Restaurant.com", '86', '4.0', '112', '22.2', "Jojo's Pizza & Family Restaurant", '23425 N 39th Dr', ' Ste 110', 'XvYtp_rwIWdd382zbQ6XjA', 'Pizza; Italian; Restaurants']
['www.Lone Spur Cafe.com', '34', '3.5', '239', '27.5', 'Lone Spur Cafe', '9780 W Northern Ave', ' Ste 1110', 'mBzL2_AKRD5TFQwMA6Itdg', 'Restaurants; American (New); Cafes']
["www.Sammy's Woodfired Pizza and Grill.com", '71', '4.0', '97', '13.7', "Sammy's Woodfired Pizza and Grill", '7160 N Durango Dr', ' Ste 110', 'K5Ex8diP6rIh8P16D8KHVA', 'Pizza; Restaurants; Gluten-Free']
['www.Parwan Kabob.com', '55', '4.0', '6', '24.1', 'Parwan Kabob', '2650 Lawrence Avenue E', ' Unit 2A', 'AS-WRS4sUuVuu6ErCIetXg', 'Afghan; Restaurants']
['www.Waterbean Coffee.com', '12', '4.0', '5', '29.0', 'Waterbean Coffee', '1111 Metropolitan Ave', ' Ste 160', 'SySedNNHZmfLGwn1GuHghQ', 'Restaurants; Sandwiches; Food; Coffee & Tea']
['www.Boston Pizza.com', '25', '2.0', '24', '26.8', 'Boston Pizza', '388 Country Hills Boulevard NE', ' Ste 600', 'tBpUgbxm7nVgd3inU3dB0A', 'Restaurants; Pizza']
['www.Shanghai Grill.com', '51', '3.5', '79', '23.4', 'Shanghai Grill', '9044 W Union Hills Dr', ' Ste 101', 'f9ERQpAPOAMv5Ay0kyD3Yw', 'Chinese; Restaurants']
['www.Galanga Thai Eatery.com', '51', '4.0', '247', '26.9', 'Galanga Thai Eatery', '8174 S Las Vegas Blvd', ' Ste 108', 'lG759ODx7tj6wbS7rYip1g', 'Vegetarian; Restaurants; Thai']
["www.Liang's Kitchen.com", '59', '3.5', '43', '10.6', "Liang's Kitchen", '4350 Spring Mountain Rd', ' Ste119', 'TwVFGd4kan9K6ptwGaZdOQ', 'Restaurants; Chinese; Taiwanese']
['www.Pho Mai Thy.com', '22', '3.5', '19', '21.9', 'Pho Mai Thy', '6219 Centre Street NW', ' Suite 25', 'txclxSoPwSoQpL1P-1bdaQ', 'Vietnamese; Restaurants']
["www.Lulu's Bakery.com", '33', '4.5', '5', '26.1', "Lulu's Bakery", '1600 N Jones Blvd', ' Ste 110', 'xBuFkgsu2i9b8L6G0NqymA', 'Mexican; Restaurants; Food; Bakeries']
["www.Osi's Kitchen.com", '24', '4.5', '123', '16.0', "Osi's Kitchen", '4604 W Sahara Ave', ' Ste 6', 'IF9C_h3NONhXZ7bbyhtnxA', 'Restaurants; Caterers; Event Planning & Services; Kosher; Mediterranean; Middle Eastern; Food']
['www.Chicken Connection.com', '77', '3.0', '23', '12.4', 'Chicken Connection', '3200 Las Vegas Blvd', ' #3140', '3c6U5CdxsN_6Gpc6dqTylg', 'Fast Food; Chicken Wings; Restaurants']
['www.Subway.com', '55', '2.0', '8', '16.1', 'Subway', '39512 N Daisy Mountain Dr', ' Ste 172', 'YKy08OxfF3I4x5WQy7lwZg', 'Sandwiches; Restaurants; Fast Food']
["www.Hank Daddy's Barbecue.com", '49', '4.0', '92', '18.2', "Hank Daddy's Barbecue", '7777 Keele Street', ' Suite 11', 'FJY3WbrP1UFPJaG_87kNdA', 'Event Planning & Services; Barbeque; Caterers; Restaurants; Southern']
['www.Pizza Hut.com', '1', '2.0', '37', '21.7', 'Pizza Hut', '3050 E. Desert Inn Road', ' #101', 'RWtPw0dnDEXZFKIzqoCbnQ', 'Chicken Wings; Pizza; Restaurants']
['www.Sushi Wow.com', '36', '4.0', '212', '17.8', 'Sushi Wow', '5585 Simmons St', ' Ste 3', 'FZXdI7r9PJVWjzS0S64kog', 'Sushi Bars; Restaurants']
['www.Hestia.com', '34', '4.5', '6', '23.6', 'Hestia', '733 Rue Cathcart', ' Suite 6', '4K1_LooJ7smBLJcKaGMjUg', 'Food; Coffee & Tea; Salad; Restaurants']
['www.Sea Salt Sushi & Oyster.com', '77', '4.0', '220', '29.7', 'Sea Salt Sushi & Oyster', '9635 Bermuda Rd', ' Ste 150', 'T_YWS3Rp7-iu69VS5jcQPg', 'Restaurants; Sushi Bars; Seafood']
['www.Red Brick Pizza.com', '75', '3.5', '7', '15.2', 'Red Brick Pizza', '1041 N Dobson Rd', ' Ste 102', '-c_MUp1XdJnC8LofTEPLTA', 'Italian; Pizza; Restaurants; Fast Food']
['www.Original #1 Brothers Pizza.com', '29', '4.5', '71', '16.8', 'Original #1 Brothers Pizza', '7440 W Cactus Rd', ' Ste A-15', 'PC_bg7yJTuRQbR5K8W5S5Q', 'Pizza; Restaurants']
['www.Dos Amigos Fresh Mex-Grill.com', '76', '3.0', '13', '23.2', 'Dos Amigos Fresh Mex-Grill', '20020 N 59th Ave', ' Ste 103', 'rGwnzfCUp23Q5lTkxqZqTg', 'Restaurants; Mexican']
['www.Subway.com', '2', '2.5', '3', '22.5', 'Subway', '1152 N Power Rd', ' Ste 101', 'o2UpKOPWQIOdvHGfQy2gyA', 'Sandwiches; Salad; Restaurants; Fast Food']
['www.Lai Lai Wok.com', '6', '4.0', '106', '17.0', 'Lai Lai Wok', '402 E Green St', ' Ste A', 'jKxES7iLV63H_PfyGVGIDw', 'Restaurants; Chinese']
['www.Golden China Chinese Cuisine.com', '2', '3.0', '145', '11.4', 'Golden China Chinese Cuisine', '3830 E Flamingo Rd', ' Ste E4', 'iiVeHbqOWMuKeUQz7ks71A', 'Restaurants; Chinese']
['www.Troy Mediterranean Grill.com', '46', '3.5', '30', '27.6', 'Troy Mediterranean Grill', '8170 S Tryon St', ' Ste G', '5spYyJ6_evLXf3NBSxd9WQ', 'Restaurants; Mediterranean; Turkish; Greek']
["www.Moxie's Grill & Bar.com", '25', '3.0', '95', '22.7', "Moxie's Grill & Bar", '730 100 City Centre Dr', ' Unit 2', 'aJduIcgXHKRiAd2PDmM__Q', 'Steakhouses; Lounges; Restaurants; Bars; Canadian (New); American (New); American (Traditional); Nightlife']
['www.Far Niente.com', '3', '3.0', '52', '22.8', 'Far Niente', '187 Bay St', ' Commerce Court', 'U1RvFnS-j6ItZ8VJGyncog', 'Gluten-Free; Seafood; Canadian (New); Restaurants; American (New)']
["www.Pt's Place.com", '74', '3.5', '18', '19.9', "Pt's Place", '9435 W Tropicana Ave', ' Ste 108', 'YZoCp2VEeQBHVivrC5G0CA', 'Pizza; Restaurants; American (Traditional); Pubs; Bars; Breakfast & Brunch; Nightlife; American (New); Sports Bars']
["www.Donna's Bakery Cafe.com", '63', '3.0', '18', '23.2', "Donna's Bakery Cafe", '668 N 44th St', ' Ste 110', 'rk1qMV30IgioAzoLL8_kKw', 'Food; Restaurants; Cafes; Delis; Bakeries']
["www.Domino's.com", '84', '2.5', '3', '17.8', "Domino's", '16646 Hawfield Way', ' Suite 103', 'dLTuw5TjLmsbDWG2FuK44g', 'Restaurants; Pizza; Fast Food; Chicken Wings; Sandwiches']
["www.Samurai Sam's.com", '37', '4.0', '39', '28.7', "Samurai Sam's", '3013 W Agua Fria Fwy', ' Ste 1', 'L7rjzj2g2EEbHfee9V-X2Q', 'Restaurants; Japanese']
['www.Saddlecreek Coffee.com', '35', '4.5', '151', '19.4', 'Saddlecreek Coffee', '28212 N Tatum Blvd', ' Ste D6', 'sWzzhyVrxwvwyoxzFH0mSQ', 'Sandwiches; Breakfast & Brunch; Food; Coffee & Tea; Restaurants']
['www.Subway.com', '6', '2.0', '4', '19.8', 'Subway', '4400 Old William Penn Hwy', ' Ste 12', 'sC2R8zbTG7UpFN6EyStUWg', 'Sandwiches; Restaurants; Fast Food']
['www.Bistro 82.com', '61', '4.0', '11', '10.4', 'Bistro 82', '203 E Royalton Rd', ' Ste 103', 'eww795QKQPU4aJk8SsHE5g', 'Nightlife; Restaurants; American (New); Bars']
['www.Hohomi Rice and Noodle House.com', '51', '3.0', '17', '11.1', 'Hohomi Rice and Noodle House', '50 Bur Oak Avenue', ' Unit 7', 'H6JDm2bkdGmWVEm5K9N2pw', 'Vietnamese; Restaurants']
['www.Bakhtar Kabab.com', '51', '4.5', '14', '27.2', 'Bakhtar Kabab', '5925 Tomken Road', ' Unit 1', 'JxxuQ4K8LKtQwWZ3pXgbJw', 'Restaurants; Middle Eastern; Afghan']
['www.Utopia Dream Cafe.com', '89', '2.5', '69', '25.0', 'Utopia Dream Cafe', '7170  Warden Avenue', ' Unit 26-27', 'vTlIUtYXdPxCk6UB746w8w', 'Coffee & Tea; Food; Tabletop Games; Chinese; Social Clubs; Cafes; Arts & Entertainment; Shopping; Restaurants']
['www.Asian Fresh.com', '50', '3.5', '14', '15.4', 'Asian Fresh', 'MGM Hotel & Casino Food Court', ' 3799 Las Vegas Blvd. South', 'Q-cV5tDErkUbUefrzDa7Aw', 'Restaurants; Asian Fusion']
['www.La Cage.com', '68', '3.0', '23', '20.9', 'La Cage', '150 Rue Sainte-Catherine O', ' Local 201C', 's913G_9CYXcP5Fzu7kZZsw', 'Brasseries; Sports Bars; Restaurants; Bars; Beer Bar; Nightlife']
['www.Chipotle Mexican Grill.com', '57', '3.5', '56', '18.1', 'Chipotle Mexican Grill', '6602 E Superstition Springs Blvd', ' Pad C', 'Ks9nrEuLdjmrLH9uXz_G8A', 'Restaurants; Tex-Mex; Mexican; Fast Food']
['www.Subway.com', '63', '3.0', '10', '16.5', 'Subway', '8877 N 107th Ave', ' Ste 302', 'KrG_CXYZDqYirhA6QbQN8Q', 'Fast Food; Sandwiches; Restaurants']
["www.Mamma's Boy Cafe.com", '76', '3.5', '11', '27.2', "Mamma's Boy Cafe", '1100 N Martin Luther King Dr', ' Ste G', 'hD4nmY8c9FRsBNzN1QjObQ', 'Cafes; Soul Food; Restaurants']
['www.@ Dawn.com', '65', '4.0', '69', '18.8', '@ Dawn', '2130 Ayrsley Town Blvd', ' Ste C', 'XRrcBOUE0DFmuHZgwkvjgQ', 'Cafes; Restaurants; American (New); Breakfast & Brunch']
['www.YOBO.com', '39', '4.0', '126', '24.8', 'YOBO', '5115 Spring Mountain Rd', ' Ste 121', 'Jyub3kujlSOTgxwr9wEKFQ', 'Japanese; Restaurants; Ramen; Noodles; Buffets; Hot Pot']
["www.Narong's Thai Kitchen.com", '71', '4.5', '157', '11.5', "Narong's Thai Kitchen", '4889 E Craig Rd', ' Ste A', 'caKRXynM5bY922pGtQhvfQ', 'Fast Food; Thai; Restaurants']
['www.Subway.com', '82', '3.5', '3', '23.0', 'Subway', 'Calgary Soccer Center', ' 7000 48th St SE', 'te4HgRSFN-l_lQWWYquNnQ', 'Soccer; Restaurants; Fast Food; Sandwiches; Active Life']
["www.Bellacino's Pizza & Grinders.com", '71', '3.0', '6', '16.9', "Bellacino's Pizza & Grinders", '4250 Main St', ' Ste 100', 'weXoqWqLgzMOf5Yz-qiujw', 'Pizza; Restaurants; Italian']
['www.Macaron Cafe.com', '43', '4.5', '37', '18.1', 'Macaron Cafe', 'Arrowhead Towne Center', ' 7700 W Arrowhead Towne Ctr', 'rMgD4N9Nd-KOTwCX1TJwVQ', 'Desserts; Macarons; Specialty Food; Restaurants; Cupcakes; Food; Cafes; Bakeries']
['www.Curry in the Box.com', '64', '3.5', '85', '28.4', 'Curry in the Box', '3050 Cahill Main', ' Ste 3', 'FudpYlLuoqeetWX6UCt3PQ', 'Pakistani; Thai; Indian; Restaurants']
['www.Parma Italian Roots.com', '37', '4.0', '44', '12.6', 'Parma Italian Roots', '20831 N Scottsdale Rd', ' Ste 117', 'd1zVNv9jW86J0csrknpqcw', 'Italian; Restaurants; Cocktail Bars; Nightlife; Tapas/Small Plates; Bars']
['www.Pio Peruvian Rotisserie Chicken.com', '55', '4.5', '50', '29.5', 'Pio Peruvian Rotisserie Chicken', '2929 Sunridge Way NE', ' Unit 104', 'W-ULhCNr4YPMTKtxP2AVDg', 'Restaurants; Peruvian']
["www.Zenaida's Cafe.com", '22', '5.0', '374', '24.3', "Zenaida's Cafe", '3430 E Tropicana Ave', ' Ste 32', '8fFTJBh0RB2EKG53ibiBKw', 'Cafes; Breakfast & Brunch; Restaurants']
['www.Little Caesars Pizza.com', '40', '3.0', '4', '14.0', 'Little Caesars Pizza', '3730 W Happy Valley Rd', ' Ste 105', 'AbwzmG9dzgHAsEAVL6mWtA', 'Pizza; Restaurants']
['www.Pizza Hut.com', '73', '2.0', '13', '10.8', 'Pizza Hut', '34640 N North Valley Pkwy', ' Ste A3', 'eMCxf71sTckRZw4GVGwtrw', 'Italian; Restaurants; Pizza; Chicken Wings']
['www.Belleria Pizza & Italian Restaurant.com', '98', '3.5', '39', '19.2', 'Belleria Pizza & Italian Restaurant', '135 E Erie St', ' Ste 202', 'hvS-3lxc8qwyOUpGBm5sAg', 'Restaurants; Pizza']
["www.Papa John's Pizza.com", '21', '2.0', '37', '26.3', "Papa John's Pizza", '241 N Nellis Blvd', ' Ste 102', '32u4chtkG4fIa52396iOhw', 'Restaurants; Pizza']
["www.Ozzy's Burgers.com", '72', '4.0', '77', '16.6', "Ozzy's Burgers", '66 Nassau St', ' Unit 1/2', 'fZDNuuFSnCtcXI3_RAFcSQ', 'Restaurants; Poutineries; Burgers; Sandwiches; Fast Food']
["www.Abe's of Scottsdale Deli Restaurant.com", '21', '3.5', '71', '20.3', "Abe's of Scottsdale Deli Restaurant", '10050 N Scottsdale Rd', ' Ste 127', 'BEOuTVv5vjbHMrMMXI5pig', 'Delis; Sports Bars; Bars; Restaurants; Nightlife; Beer; Wine & Spirits; Food']
["www.Dub's Family Grill & Bar.com", '70', '3.0', '5', '23.3', "Dub's Family Grill & Bar", '1925 S Sossaman Rd', ' Ste 101', 'kzaI1djbpwOEhCjzLneisA', 'Sports Bars; Restaurants; American (Traditional); Bars; Nightlife']
['www.Hogs Heaven Barbeque.com', '38', '4.0', '6', '25.7', 'Hogs Heaven Barbeque', '5670 Simmons', ' Ste 104', 'l2z3Nq0WPO5jfiM1gAfM2w', 'Barbeque; Restaurants']
['www.Al-Salam Market & Deli.com', '92', '2.5', '3', '28.3', 'Al-Salam Market & Deli', '10901 University City Blvd', ' Ste 104', '-0QtTRrAMn6DKLZNef3Ojg', 'Ethnic Food; Food; Delis; Specialty Food; Restaurants; Meat Shops; Grocery; Convenience Stores']
['www.Ram in the Rye.com', '21', '3.0', '4', '22.1', 'Ram in the Rye', 'Ryerson Student Centre', ' 63 Gould Street', 'gteA1_bDN-spzeiJmaBizg', 'Canadian (New); Bars; Restaurants; Nightlife; Barbeque']
['www.HealthFare Restaurant.com', '13', '4.0', '4', '29.9', 'HealthFare Restaurant', '240 4 Avenue SW', ' Suite 209', 'qKOgvRkltNu7UQ3P-bqfVw', 'Fast Food; Juice Bars & Smoothies; Food Court; Salad; Restaurants; Food; Gluten-Free; Specialty Food; Health Markets']
["www.McDonald's.com", '52', '2.0', '8', '27.1', "McDonald's", '2810 Major MacKenzie Drive', ' Building C', 'hKeUxD6hmx2gtW5TYXp1cQ', 'Restaurants; Fast Food; Burgers']
['www.Mr. Chestnut.com', '58', '5.0', '8', '13.0', 'Mr. Chestnut', '290 Yorktech Drive', ' Unit 16', 'KsaVx2E63ZMXUQfrxcp_XQ', 'Restaurants; Food Stands; Food']
['www.Panda Express.com', '41', '3.5', '21', '29.7', 'Panda Express', '1735 W Craig Rd', ' Ste 1', 'ABlNn6tyCTfjiKteYnp53g', 'Chinese; Restaurants; Event Planning & Services; Fast Food; Caterers']
["www.Papa John's Pizza.com", '29', '2.5', '20', '16.6', "Papa John's Pizza", '4815 Centre Ave', ' Ste 4', 'tE4H7SuEBCdF8O-BMAAB6g', 'Pizza; Restaurants']
['www.The Coffee Bean & Tea Leaf.com', '45', '3.5', '37', '12.8', 'The Coffee Bean & Tea Leaf', '3377 S. Las Vegas Blvd', ' Suite 2164A', 'pjoVN4XV_QDWoASXsOCZ5Q', 'Food; Restaurants; Coffee & Tea']
["www.Mr D'z Fish House.com", '84', '4.5', '14', '29.5', "Mr D'z Fish House", '4440 S Maryland Pkwy', ' Ste 113', 'eeTQZt5aLtPjBrnPvR1tiQ', 'Sandwiches; Restaurants; Seafood']
['www.Rosatis Pizza.com', '70', '3.0', '58', '22.0', 'Rosatis Pizza', '13856 W Waddell', ' Ste 104', 'QyiuN41DV7xe8Wc75427Hg', 'Pizza; Restaurants; Italian']
['www.Gran Gusto Ristorante.com', '6', '4.5', '17', '12.8', 'Gran Gusto Ristorante', '3883 Highway 7', ' Unit 6', '-z9IQza32guuRyqF8jxMyQ', 'Italian; Restaurants; Pizza']
['www.Symposium Cafe Restaurant & Lounge.com', '73', '3.0', '107', '21.7', 'Symposium Cafe Restaurant & Lounge', 'North York Civic Center', ' 5221 Yonge St', 'KFlwmysUsRUOx4-_5PQ8xA', 'American (Traditional); Breakfast & Brunch; Food; Nightlife; Cafes; Lounges; Bars; Desserts; Coffee & Tea; Beer; Wine & Spirits; Restaurants']
['www.Emperor Hotpot.com', '2', '2.5', '19', '21.1', 'Emperor Hotpot', '7077 Kennedy Road', ' Unit 110', 'HA9VtwOCvBEYqRxuJfa6Xg', 'Hot Pot; Restaurants; Canadian (New); Chinese']
['www.Kabab House.com', '32', '4.5', '23', '17.1', 'Kabab House', '3510 E Bell Rd', ' Ste 3', '--g-a85VwrdZJNf0R95GcQ', 'Lebanese; Restaurants; Mediterranean; Middle Eastern; Food; Arabian; Juice Bars & Smoothies; Halal; Turkish; Greek']
["www.Joe's Island Grindz.com", '67', '4.5', '33', '27.2', "Joe's Island Grindz", '6475 W Charleston Blvd', ' Ste 110', 'HQMMKfEe3lmtLVXhPWKXRw', 'Barbeque; Restaurants; Comfort Food; Hawaiian']
['www.Dubina Brewing.com', '35', '4.0', '206', '16.2', 'Dubina Brewing', '17035 N 67th Ave', ' Ste 6', 'dQrDogW_V4fB83vTTAP5eA', 'Brewpubs; Czech; Breweries; Beer Bar; Food; Nightlife; Restaurants; Pubs; Bars']
['www.Chandler BBQ Company.com', '87', '2.0', '76', '26.0', 'Chandler BBQ Company', '2040 S Alma School Rd', ' Ste 12', 'ZcQkBoTtK1bDEo4Np7x0VQ', 'Barbeque; Restaurants']
['www.Booster Juice.com', '2', '2.0', '4', '12.2', 'Booster Juice', 'Pearson Airport', ' Terminal 1 Near Gate F57', 'mhzVXVABAyUytXKeGl2-xA', 'Food; Juice Bars & Smoothies; Restaurants; Vegetarian']
['www.CraftHaus Brewery.com', '58', '4.5', '154', '20.6', 'CraftHaus Brewery', '7350 Eastgate Rd', ' Ste 110', 'x2JxsUlVFrcQ3FvK2UR6KA', 'Lounges; Gastropubs; Food; Beer Bar; Beer; Wine & Spirits; Breweries; Pubs; Bars; Nightlife; Restaurants']
['www.Starbucks.com', '18', '2.5', '23', '14.5', 'Starbucks', '3801 Las Vegas Blvd S', ' Tropicana Hotel Lobby', 'QeO9D8joKKWSRcxmjwWZKA', 'Restaurants; Coffee & Tea; Food; Cafes']
['www.La Creperie Bretonne Le Triskell.com', '92', '2.0', '8', '16.0', 'La Creperie Bretonne Le Triskell', '3470', ' rue Saint-Denis', 'qiJmEKd2z_Oc8UUNCplU4g', 'Restaurants; Breakfast & Brunch; Creperies']
['www.Tapino Kitchen & Wine Bar.com', '12', '4.0', '32', '18.4', 'Tapino Kitchen & Wine Bar', '7000 E Shea Blvd', ' Ste 1010', 'EcRL1BpBvvQ5LnzgtFr8Gw', 'Bars; Nightlife; Wine Bars; Tapas Bars; Restaurants; American (New)']
['www.Firehouse Subs.com', '74', '3.0', '69', '26.7', 'Firehouse Subs', '2100 S Gilbert Rd', ' Ste 11', 'gYjRq8GabmkUggI1WwjCrw', 'Fast Food; Sandwiches; Restaurants; Delis']
['www.Pizza Hut.com', '86', '3.0', '13', '20.2', 'Pizza Hut', '1740 E Broadway', ' Ste 109', 'V3erF_OvXVcp1HgQiRLQ1g', 'Italian; Pizza; Restaurants; Fast Food; Chicken Wings']
['www.Red Devil Bistro.com', '17', '3.5', '42', '15.1', 'Red Devil Bistro', '18185 N 83rd Ave', ' Ste 113', 'SzTK3GPoFIkb6k322f1Mmw', 'Pizza; Italian; Restaurants']
['www.Funky Munky Cafe.com', '80', '4.5', '69', '15.2', 'Funky Munky Cafe', '9275 Markham Road', ' Unit 7', 'TITY-kzuk2hLumFrPnVlgA', 'Food; Restaurants; Coffee & Tea; Cafes']
['www.China Tango Bistro.com', '32', '3.0', '90', '20.6', 'China Tango Bistro', '10300 W Charleston Blvd', ' Ste 5', 'KjjNv4YFzBFnsBh2ncH1Iw', 'Chinese; Restaurants']
['www.Local Play Yard Bar & Grill.com', '24', '4.5', '28', '28.2', 'Local Play Yard Bar & Grill', '3002 N Arizona Ave', ' Ste 1', 'fgooEaAjIuF6cCCa4ZvGkw', 'Sports Bars; Bars; Nightlife; Sandwiches; American (Traditional); Fast Food; Restaurants; Food']
['www.4th Street Bar & Grill.com', '34', '2.5', '25', '16.6', '4th Street Bar & Grill', 'The Corner Alley', ' 402 Euclid Ave', 'NMtxUApc4-puhWVtZWcU8g', 'Bars; American (Traditional); Restaurants; Cocktail Bars; Nightlife']
['www.Subway.com', '54', '3.5', '11', '15.6', 'Subway', '754 S Val Vista Dr', ' Ste 102', '4kV-Kb5VUdMnKb7NLPmN3Q', 'Sandwiches; Restaurants; Fast Food']
['www.Dinghao Shanghai Bistro.com', '68', '3.0', '49', '27.1', 'Dinghao Shanghai Bistro', '2711 S Alma School Rd', ' Ste 2', 'mHIMBcS1rS77yTW47-77zA', 'Restaurants; Chinese; Szechuan; Shanghainese']
["www.The Captain's Boil.com", '44', '4.0', '50', '27.6', "The Captain's Boil", '1800 The Queensway', ' Unit 5', 'gVILTnDFDsVuVdxFVkRK7A', 'Cajun/Creole; Seafood; Asian Fusion; Restaurants']
['www.Thaiphon.com', '10', '3.0', '10', '26.7', 'Thaiphon', '577 Avenue du President Kennedy', ' Unit 575', 'Fn33de7Ans4x9YD2T7QgAA', 'Restaurants; Thai']
['www.Mi Ga.com', '8', '4.0', '39', '20.1', 'Mi Ga', '6850 W Spring Mountain Rd', ' Ste F-1', 'eOI8wM9EEGzsefVaAF076w', 'Korean; Hawaiian; Restaurants']
['www.Tokyo One Express.com', '98', '4.5', '38', '27.6', 'Tokyo One Express', '8834 Camfield St', ' Ste B', 'ms8tG7Co_ELSSGhbOL6HBg', 'Vegetarian; Seafood; Japanese; Restaurants']
['www.Shawarma Corner.com', '2', '3.5', '19', '23.0', 'Shawarma Corner', '245 Queen Street E', ' Unit 235', 'nxzsi2CR4T6AKJi4VIXUpA', 'Middle Eastern; Restaurants']
["www.Lo's Wok.com", '18', '3.0', '3', '12.1', "Lo's Wok", '3255 Highway 7 E', ' Unit 255', 'QCaAoQkiu6qYodoFrTbHAQ', 'Restaurants; Fast Food']
['www.The Owl of Minerva.com', '42', '3.5', '29', '25.1', 'The Owl of Minerva', '187 Cross Avenue', ' Unit 7', 'FItfCiIOqELKm8qhhqcN_Q', 'Bars; Food; Nightlife; Korean; Seafood; Restaurants']
['www.Silver Mine Subs.com', '49', '3.5', '46', '23.1', 'Silver Mine Subs', '414 S Mill Ave', ' Ste 114', 'BaPKO2rV_uaOtRliKtaFcQ', 'Sandwiches; Restaurants']
['www.Saigon Vietnamese Cuisine.com', '27', '3.5', '14', '11.1', 'Saigon Vietnamese Cuisine', '1333 Savoy Plz', ' Ste 8', 'uma0HNsysznSfPbQb2HD5g', 'Vietnamese; Restaurants']
['www.Freshii.com', '94', '5.0', '4', '29.9', 'Freshii', '15 Sunpark Plaza SE', ' Suite 3107', 'e3f5-nR7X0Nn8NOcqjHeOw', 'Salad; Food; Juice Bars & Smoothies; Restaurants; Breakfast & Brunch; Grocery']
['www.Mr Zagros.com', '49', '3.5', '35', '25.8', 'Mr Zagros', '9200 Bathurst Street', ' Unit 6', 'akBRGfRBDSFJ_koSZn-LVw', 'Donairs; Food; Middle Eastern; Mediterranean; Turkish; Restaurants']
['www.Mantra Masala.com', '22', '3.5', '151', '24.2', 'Mantra Masala', '8530 W Warm Springs Rd', ' Ste 101', 'hubbaEcYPYEZu5Ziz6i0lw', 'Restaurants; Pakistani; Indian']
["www.Jimmy John's.com", '4', '2.5', '67', '15.3', "Jimmy John's", '14900 N Pima Rd', ' Ste 103', 'UdoRqx5AYhhGBH9GGtUZ7w', 'Restaurants; Food; Fast Food; Sandwiches; Delis']
['www.Viva Mexican Grill.com', '18', '2.5', '36', '25.9', 'Viva Mexican Grill', '9820 W Lower Buckeye Rd', ' Ste 103', 'O1TNBB10DqZ2-7_VkYruog', 'Restaurants; Mexican']
['www.Burger Joint.com', '59', '3.5', '81', '13.3', 'Burger Joint', '525 N Estrella Pkwy', ' Ste 105', 'W607in_una2pkB3lsy6umw', 'Breakfast & Brunch; Restaurants; Diners; Burgers; American (Traditional)']
['www.YunShang Rice Noodle House.com', '43', '3.5', '10', '20.7', 'YunShang Rice Noodle House', '4186 Finch Ave E', ' Suite 32', 'W7LceFeOx-8rLLwgXc8UMw', 'Noodles; Restaurants']
['www.The Chicken Place.com', '15', '4.0', '34', '20.1', 'The Chicken Place', '1 Industrial Parkway S', ' Unit 1', 'JkNdbShc7BhctJwTdgupJg', 'Barbeque; Portuguese; Sandwiches; Restaurants']
['www.Steaks R US.com', '69', '3.0', '3', '18.1', 'Steaks R US', '2740 S Alma School Rd', ' Ste 5', 'h56xmZLDV5jB06PztkWH8g', 'Restaurants; Fast Food; Steakhouses']
['www.Ali Baba Cafe and Restaurant.com', '13', '3.5', '4', '28.0', 'Ali Baba Cafe and Restaurant', '880 Ellesmere Road', ' Unit 302', '3uW3cZgSlK77ydvrsB3zrA', 'Afghan; Cafes; Dance Clubs; Nightlife; Restaurants']
['www.Han Shi Fang.com', '28', '3.0', '38', '26.3', 'Han Shi Fang', '3250 Midland Avenue', ' Unit G101', 'adfELKOWudmET4s_yZ68CQ', 'Hot Pot; Chinese; Restaurants']
["www.Mancuso's Northern Italian Continental Cuisine.com", '36', '3.5', '3', '22.1', "Mancuso's Northern Italian Continental Cuisine", '6166 N Scottsdale Rd', ' Ste 500', 'dfgvS2WwXFBBKJqhOLlTHg', 'Shopping; Italian; Restaurants; Shopping Centers']
['www.Marnee Thai Restaurant.com', '45', '3.5', '47', '29.9', 'Marnee Thai Restaurant', '5600 Spring Mountain Rd', ' Ste A', 'TJ782bOKB4FPl3tYYlaGcg', 'Restaurants; Thai']
['www.Pizza Nova.com', '25', '3.5', '6', '24.3', 'Pizza Nova', '1054 Centre Street W', ' Unit 2B', '4cgzrosBI5IjwG3S5aMvIw', 'Pizza; Restaurants']
['www.BabyStacks Cafe.com', '39', '4.0', '1334', '17.3', 'BabyStacks Cafe', '4135 S Buffalo Dr', ' Ste 101', 'sNVGdeOPeitJ3OWUQBINzQ', 'Restaurants; Cafes; Breakfast & Brunch; American (Traditional)']
['www.Bagel Nosh.com', '69', '4.0', '148', '19.4', 'Bagel Nosh', '835 W Warner Rd', ' Ste 109', 'XEMoBJcgavYQxOrWM-YAvA', 'Food; Sandwiches; Breakfast & Brunch; Restaurants; Bagels']
['www.Yard Cooked Dishes.com', '32', '4.5', '16', '20.6', 'Yard Cooked Dishes', '1610 Ashley Rd', ' Ste 7', 'u8UfR7vKDfh1q7i81Tacdw', 'Restaurants; Caribbean']
